Datetime,Open,High,Low,Close,Adj Close,Volume,MA9,MA21,MA35,MA50,MA100,VWAP,RSI
2024-09-16 09:30:00-04:00,561.739990234375,562.135009765625,561.1300048828125,561.1400146484375,561.1400146484375,1759471,,,,,,561.4683430989584,
2024-09-16 09:35:00-04:00,561.1400146484375,561.1900024414062,560.8200073242188,560.989990234375,560.989990234375,822177,,,,,,561.3191899517934,0.0
2024-09-16 09:40:00-04:00,560.97998046875,561.25,560.8400268554688,561.030029296875,561.030029296875,479270,,,,,,561.275478098851,21.066152858060363
2024-09-16 09:45:00-04:00,561.0499877929688,561.8300170898438,560.9058837890625,561.8049926757812,561.8049926757812,471628,,,,,,561.3072737679421,84.45386123584846
2024-09-16 09:50:00-04:00,561.8099975585938,562.7650146484375,561.77001953125,562.75,562.75,558893,,,,,,561.460412727432,92.14545919345561
2024-09-16 09:55:00-04:00,562.760009765625,562.9199829101562,562.35009765625,562.47998046875,562.47998046875,519054,,,,,,561.5868345639592,80.73240383000169
2024-09-16 10:00:00-04:00,562.469970703125,562.8200073242188,561.6300048828125,562.3508911132812,562.3508911132812,419550,,,,,,561.6435636790059,76.21917373721355
2024-09-16 10:05:00-04:00,562.369873046875,562.6599731445312,562.280029296875,562.4000244140625,562.4000244140625,372279,,,,,,561.6989068647173,76.71463326259124
2024-09-16 10:10:00-04:00,562.3900146484375,562.6099853515625,562.1699829101562,562.5,562.5,230281,561.9384358723959,,,,,561.72865986146,77.66163472042903
2024-09-16 10:15:00-04:00,562.510009765625,562.7100219726562,562.4000854492188,562.5,562.5,361510,562.0895453559028,,,,,561.7773935915122,77.66163472042903
2024-09-16 10:20:00-04:00,562.510009765625,562.530029296875,561.8200073242188,561.9199829101562,561.9199829101562,320944,562.1928778754341,,,,,561.793281213848,62.835733944032626
2024-09-16 10:25:00-04:00,561.9099731445312,561.969970703125,561.0599975585938,561.4788208007812,561.4788208007812,636686,562.2427435980903,,,,,561.7666889258556,54.86870033504657
2024-09-16 10:30:00-04:00,561.4600219726562,561.469970703125,559.9000244140625,560.139892578125,560.139892578125,704581,562.0577324761284,,,,,561.6504238980629,39.62175719497365
2024-09-16 10:35:00-04:00,560.1300048828125,561.0599975585938,559.9500122070312,560.75,560.75,638755,561.8355102539062,,,,,561.5685104924088,46.4076905779177
2024-09-16 10:40:00-04:00,560.77001953125,561.25,560.739990234375,561.1400146484375,561.1400146484375,481481,561.6866251627604,,,,,561.5396994274735,50.0
2024-09-16 10:45:00-04:00,561.1400146484375,561.1699829101562,560.3900146484375,561.030029296875,561.030029296875,486996,561.5398627387153,,,,,561.5041425395052,50.34645203540571
2024-09-16 10:50:00-04:00,561.0299072265625,561.3400268554688,560.5513916015625,560.760009765625,560.760009765625,415691,561.3576388888889,,,,,561.4775013245476,47.75299160927246
2024-09-16 10:55:00-04:00,560.7999877929688,560.97998046875,560.52001953125,560.6900024414062,560.6900024414062,241289,561.1565280490452,,,,,561.4593204872685,39.488100170326376
2024-09-16 11:00:00-04:00,560.47998046875,560.5499877929688,560.1599731445312,560.489990234375,560.489990234375,458253,560.9331936306423,,,,,561.412547761684,25.210882896392903
2024-09-16 11:05:00-04:00,560.5,561.1199951171875,560.4199829101562,560.9400024414062,560.9400024414062,400062,560.8243069118923,,,,,561.390802274414,33.7502415147807
2024-09-16 11:10:00-04:00,560.9400024414062,561.27001953125,560.9000244140625,561.1099853515625,561.1099853515625,262902,560.7833251953125,561.4473644438244,,,,561.3837198290681,37.018070365877016
2024-09-16 11:15:00-04:00,561.0701293945312,561.280029296875,560.9600219726562,561.1950073242188,561.1950073242188,258790,560.9005601671007,561.4499831426712,,,,561.378253432447,37.487483046658134
2024-09-16 11:20:00-04:00,561.2000122070312,561.4199829101562,560.9949951171875,561.385009765625,561.385009765625,418814,560.9711168077257,561.4687935965402,,,,561.374265517079,38.63478001194505
