Date,Close,High,Low,Open,Volume,MA8,MA21,MA45,MA100,MA200,EMA8,EMA21,EMA45,EMA100,EMA200,VWAP,RSI,BB_Mid,BB_Upper,BB_Lower,PP,S1,R1,S2,R2
2024-12-04 14:30:00+00:00,605.780029296875,606.0499877929688,605.510009765625,605.6300048828125,1945925,,,,,,605.780029296875,605.780029296875,605.780029296875,605.780029296875,605.780029296875,605.7800089518229,,,,,,,,,
2024-12-04 14:35:00+00:00,605.619873046875,605.9298706054688,605.5399780273438,605.7999877929688,426558,,,,,,605.7444390190972,605.7654696377841,605.7730659816576,605.776857885984,605.7784357023477,605.7650078362307,0.0,,,,605.7800089518229,605.510030110677,606.0500081380208,605.2400309244791,606.3199869791666
2024-12-04 14:40:00+00:00,605.6900024414062,605.8200073242188,605.5900268554688,605.5999755859375,268519,,,,,,605.7323420018325,605.7586089835679,605.7694545233858,605.7751379761903,605.7775557694031,605.758399525689,30.453220249138624,,,,605.6965738932291,605.4632771809895,605.8531697591145,605.3066813151041,606.0864664713541
2024-12-04 14:45:00+00:00,605.780029296875,605.9099731445312,605.5700073242188,605.7000122070312,238654,,,,,,605.7429391785087,605.7605562847776,605.7699142961462,605.7752348340256,605.7775803816168,605.7579799303617,50.0,,,,605.7000122070312,605.5800170898438,605.8099975585938,605.4700317382812,605.9299926757812
2024-12-04 14:50:00+00:00,606.0800170898438,606.0800170898438,605.83251953125,606.0,321292,,,,,,605.8178453810276,605.7895981761473,605.783397026307,605.7812701262201,605.7805897020966,605.7820233182931,74.18085211059727,,,,605.7533365885416,605.596700032552,605.9366658528645,605.4133707682291,606.0933024088541
2024-12-04 14:55:00+00:00,605.8900146484375,606.2100219726562,605.7899780273438,606.0900268554688,314173,,,,,,605.8338829960076,605.7987269463555,605.7880325750953,605.7834234830957,605.7816785075328,605.7982288046485,56.78668273576378,,,,605.9975179036459,605.915018717448,606.1625162760417,605.7500203450521,606.2450154622396
2024-12-04 15:00:00+00:00,605.590087890625,605.9199829101562,605.4000244140625,605.8800048828125,642351,,,,,,605.7797063059226,605.7797597594708,605.7794262844661,605.779595055522,605.7797721332352,605.7732715196017,41.44584936778449,,,,605.9633382161459,605.7166544596355,606.136698404948,605.5432942708334,606.3833821614584
2024-12-04 15:05:00+00:00,605.6199951171875,605.6900024414062,605.5,605.5900268554688,457844,605.7562561035156,,,,,605.7442149306481,605.7652357010815,605.7724944945844,605.7764346607034,605.77818231218,605.7564133994755,42.981798715203425,,,,605.6366984049479,605.3534138997395,605.8733723958333,605.1167399088541,606.1566569010416
2024-12-04 15:10:00+00:00,605.4400024414062,606.02001953125,605.4299926757812,605.6400146484375,457993,605.713752746582,,,,,605.6766121552611,605.7356690411109,605.7580383183592,605.769772636559,605.7748173383414,605.7450018698856,37.121457302695454,,,,605.6033325195312,605.5166625976562,605.7066650390625,605.413330078125,605.7933349609375
2024-12-04 15:15:00+00:00,605.5599975585938,605.5599975585938,604.9500122070312,605.4500122070312,885566,605.7062683105469,,,,,605.6506978004461,605.7196989063366,605.7494278505433,605.7656186746191,605.7726798280953,605.6872905920778,42.3606696333969,,,,605.6300048828125,605.239990234375,605.8300170898438,605.0399780273438,606.2200317382812
2024-12-04 15:20:00+00:00,605.4901123046875,605.72998046875,605.4400024414062,605.5700073242188,477436,605.681282043457,,,,,605.615012134722,605.6988273970958,605.738153261593,605.7601631029372,605.7698682109469,605.6773561956841,40.40016168148747,,,,605.3566691080729,605.153340657552,605.7633260091145,604.7466837565104,605.9666544596354
2024-12-04 15:25:00+00:00,605.6300048828125,605.74072265625,605.510009765625,605.510009765625,295517,605.6625289916992,,,,,605.6183438565198,605.6925708048882,605.7334511581678,605.7575857124398,605.7684765360401,605.675141791386,45.45353654927493,,,,605.5533650716146,605.3767496744792,605.666727701823,605.2633870442709,605.8433430989584
2024-12-04 15:30:00+00:00,605.9500122070312,605.9749755859375,605.5399780273438,605.6599731445312,207919,605.6462783813477,,,,,605.6920479344112,605.7159745687194,605.7428668559445,605.7613961380753,605.7702828611247,605.6795314235547,54.31448489542989,,,,605.6269124348959,605.5131022135417,605.7438151041667,605.3961995442709,605.8576253255209
